김승민,서울특별시 양천구 백제고분길,49205,(유) 한조김,간병인,054-588-3564,qi@example.org,junyeong57,172.30.99.38,86.3.184.124,가상 헌신적 패러다임,LightSkyBlue
김영환,충청남도 수원시 영통구 논현가 (정식남심동),03194,이이김,의무기록사,053-865-1584,yujini@example.com,qgim,10.63.67.125,56.225.22.185,최적화된 잘 모듈화된 패러다임,DarkGoldenRod
신현주,서울특별시 양천구 언주83거리 (순자윤박리),70033,김박문,혼례 종사원,010-6223-0416,gimjongsu@example.net,ihyeonjeong,10.226.180.200,216.113.229.230,공유 가능한 방향 공개 시스템,BurlyWood
윤영미,충청남도 연천군 언주095길,44109,(유) 백,우편물 집배원,055-474-4339,jiyeongsim@example.net,gi,10.169.189.170,159.167.50.108,효율적인 결합된 유연성,DarkOrange
남성진,충청북도 안양시 언주57거리 (준호김면),57757,홍김,기타 미용관련 서비스 종사원,010-2928-2929,bagyeongsu@example.org,junseoi,172.29.7.86,135.117.93.220,품질 중심의 역수 엑스트라넷,MediumSlateBlue
이지후,대구광역시 도봉구 반포대로 (시우최면),83347,주식회사 박최김,세탁관련 기계조작원,042-054-7543,gyeonghyi07@example.com,hyeonjun82,192.168.27.21,30.47.143.110,강화된 범국가적 그래픽 인터페이스,PaleVioletRed
한수진,전라북도 아산시 선릉2로,57623,김김,금속기계부품 조립원,053-149-1613,jiyeong56@example.net,juweongim,172.23.57.113,203.147.126.234,다양한 객체 지향적 GUI,PaleGreen
김민준,광주광역시 성동구 논현가,58246,유한회사 안류안,제화원,018-082-3146,seongsu87@example.org,jeongunghong,10.105.41.208,218.124.153.104,디지털화된 24/7 시너지,DarkBlue
이영철,전라남도 고양시 학동64거리 (영순김이동),85345,이최이,이용사,043-970-5280,gimyeongjin@example.com,yuncunja,172.24.149.176,194.111.151.144,출판된 로컬 아카이브,Yellow
송도윤,세종특별자치시 마포구 역삼길 (경숙윤김읍),45899,(주) 김,단조원,051-150-5543,gimsujin@example.org,yejinca,10.138.133.247,208.26.29.33,재정렬 밀착 그래픽 인터페이스,LightSkyBlue
최진호,전라남도 청주시 서원구 잠실로,35563,주식회사 김,만화가 및 만화영화 작가,062-224-6871,hayunhan@example.org,seongjin86,172.23.213.229,204.179.165.24,멀티 레이어 최적화된 접근,PeachPuff
남보람,인천광역시 도봉구 반포대거리 (성민최읍),84209,유한회사 손김이,주차 관리원 및 안내원,010-2623-6269,jeongseunghyeon@example.net,areum86,172.25.224.70,6.42.168.47,다양한 분리형 아키텍쳐,DimGray
양미정,대구광역시 서대문구 선릉가,94022,주식회사 김,기타 서비스관련 단순 종사원,061-301-1666,sangceol24@example.org,seonyeonggim,192.168.23.28,103.252.12.121,객체 기반의 실시간 에뮬레이션,IndianRed
김민준,경기도 서산시 백제고분1가 (영숙최이읍),23898,이이손,치과 의사,062-900-5421,sangceol29@example.com,usong,10.248.204.115,223.21.29.46,복제된 근본적 GUI,LightPink
류미영,광주광역시 마포구 압구정가 (경숙박리),61018,이서김,신용 추심원,062-903-7559,icunja@example.net,rmun,192.168.203.154,222.29.136.144,숙련된 5세대 프로젝트,DarkViolet
남상현,전라북도 단양군 강남대52가 (윤서임손면),71559,(유) 이,운송관련 관리자,041-577-4794,yeongsucoe@example.net,yeongceol67,172.30.190.30,213.123.136.30,사용자 중심의 물류 소프트웨어,Indigo
이영자,대구광역시 도봉구 가락538거리,96419,유한회사 안,물품이동 장비 조작원,033-141-6506,seoyeong34@example.org,yeongjahong,192.168.207.135,124.104.12.224,인체 공학적인 고단계 배열,AliceBlue
이현주,광주광역시 강북구 서초중앙9거리,43014,조이고,가축 사육 종사원,070-5159-9361,ihyeonju@example.com,iminseog,10.26.110.105,80.30.14.81,선택적 멀티미디어 도전,PapayaWhip
황지민,충청남도 동해시 봉은사거리,45060,문김장,바텐더,043-259-0723,seongmin10@example.org,gimmyeongja,172.25.223.205,216.150.144.182,다중 주파수 그리드 가능 미들웨어,PaleTurquoise
유지후,광주광역시 성동구 영동대1가,61389,(유) 김,위관급,064-748-6991,misugseo@example.com,bagyeeun,172.22.5.206,201.117.160.145,더 작아진 문맥 기반 프레임워크,DarkOrchid
정미경,경상북도 청주시 상당구 봉은사로 (현정박김동),40477,(유) 이배양,금융관련 사무원,042-079-1309,areum96@example.net,hyeonsug88,192.168.35.22,86.88.27.41,적응된 지역적 프로토콜,GreenYellow
황명자,서울특별시 강북구 서초대9가 (성진주유리),75665,유한회사 고,건축 도장공,062-083-0899,seoyunseo@example.org,zji,172.20.7.110,151.203.98.170,미래가 보장된 모듈형 어댑터,Beige
송준혁,울산광역시 광진구 영동대가,98599,주식회사 최,해외 영업원,033-581-6372,ygim@example.com,seonghunhong,10.35.131.102,153.57.105.7,객체 기반의 국가적 인코딩,DarkOliveGreen
윤은서,충청북도 제천시 잠실거리,46855,박홍손,음식서비스관련 관리자,063-912-8825,ci@example.com,junho39,192.168.112.106,43.217.196.86,올바른 사이즈의 3세대 분석,LightSalmon
안은주,부산광역시 동구 논현로 (영일최읍),52771,박박조,정보 시스템 운영자,042-536-9007,hayun61@example.com,minsu45,10.221.146.247,116.166.3.133,인체 공학적인 최적화된 아키텍쳐,MediumPurple
김수빈,세종특별자치시 노원구 봉은사14로 (민준이황동),85030,고우김,조명기사 및 영사기사,031-544-8613,seojunbag@example.org,jeongja82,10.252.49.39,147.116.16.62,최적화된 중립형 배열,BurlyWood
고지연,울산광역시 중구 선릉가 (성호장김면),63029,유한회사 강송김,노점 및 이동 판매원,011-365-3946,nammyeongsug@example.net,yeeun93,10.235.250.129,222.3.151.113,공개 아키텍쳐 무관리 에뮬레이션,ForestGreen
허은경,부산광역시 송파구 언주거리,54418,유한회사 이,경리 사무원,043-711-0132,gwangsu67@example.com,gyeongsu05,10.27.41.182,212.254.53.150,미래가 보장된 중립형 관리자,Olive
김경희,대전광역시 구로구 서초중앙56길 (지원이면),91581,김장,원예작물 재배원,055-540-3632,isugja@example.org,seonghohan,10.96.197.50,124.197.14.1,비즈니스 중점적 클라이언트-서버 축적,Gold
